split,scale,no_vmd_RMSE,cached_vmd_RMSE,delta_RMSE_cached_vmd_minus_no_vmd,cached_vmd_improvement_RMSE_pct,no_vmd_MAE,cached_vmd_MAE,delta_MAE_cached_vmd_minus_no_vmd,cached_vmd_improvement_MAE_pct,no_vmd_MAPE,cached_vmd_MAPE,delta_MAPE_cached_vmd_minus_no_vmd,cached_vmd_improvement_MAPE_pct,no_vmd_Directional_Accuracy,cached_vmd_Directional_Accuracy,delta_Directional_Accuracy_cached_vmd_minus_no_vmd
validation,raw_transformed,0.13062748815496736,,,,0.08937489747064976,,,,219.85192731014328,,,,81.25,,
validation,level,1068381.0040498965,1139667.1964110539,71286.19236115739,-6.672356780112511,732262.4512755811,844306.767334351,112044.31605876982,-15.301114492978806,9.452650140965396,10.814513256331768,1.361863115366372,-14.407209566176595,62.5,65.625,3.125
test,raw_transformed,0.13239420436417954,,,,0.09262303052942926,,,,235.59063539658956,,,,68.75,,
test,level,1377790.9269229723,1290032.1068424028,-87758.82008056948,6.369530990929205,989822.4851622893,925695.5077278009,-64126.97743448848,6.478634138521752,9.384933355659681,9.115101069138982,-0.2698322865206997,2.87516465269276,56.25,71.875,15.625
test,reconstructed_transformed,,0.1296150685011344,,,,0.08955158247255948,,,,171.00764328942225,,,,81.25,
validation,reconstructed_transformed,,0.13789505836404678,,,,0.10125808815244411,,,,228.0006254715293,,,,75.0,
