candidate_id,component,lag_spec,target_lags,exog_lags,HR,hidden_layers,hidden_units_per_layer,hidden_layer_sizes,alpha,seed,max_iter,n_train,n_val,forecast_safe_no_exog_lag0,uses_vmd,search_strategy,search_stage,selected_for_hyperparam_search,fast_screen_rmse,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,eligible_final_selection,combo_id,n_refit_train_val
2410,RES,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","(1, 11)","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",4,1,4,"(4,)",0.1,42,500,141,33,True,True,staged_halving,hyperparam_search,True,0.15063849684971484,0.12314399504823235,0.08433595060486918,156.6870953607895,65.625,True,31,174.0
243,VMD1,"target:[1, 2] | US_Retail:[1, 2, 3, 4], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4, 5], USD_VND:[1, 2, 3, 4, 5]","(1, 2)","{'US_Retail': (1, 2, 3, 4), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4, 5), 'USD_VND': (1, 2, 3, 4, 5)}",27,1,27,"(27,)",0.0001,7,500,146,33,True,True,staged_halving,hyperparam_search,True,0.13764694911436193,0.13748088744840026,0.09694876918026586,119.94014921919475,56.25,True,31,179.0
1242,VMD2,"target:[1] | US_Retail:[1, 2, 3, 4, 5], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4, 5], USD_VND:[1, 2, 3, 4, 5, 6]","(1,)","{'US_Retail': (1, 2, 3, 4, 5), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4, 5), 'USD_VND': (1, 2, 3, 4, 5, 6)}",28,1,28,"(28,)",0.0001,7,500,146,33,True,True,staged_halving,hyperparam_search,True,0.1355235759124047,0.13495146269960223,0.09184546924014812,106.92430596989885,59.375,True,31,179.0
1990,VMD3,"target:[1, 2, 3] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5]","(1, 2, 3)","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5)}",27,3,27,"(27, 27, 27)",0.0001,42,500,146,33,True,True,staged_halving,hyperparam_search,True,0.13787072030982334,0.13464854406488852,0.09112271960467513,95.93023298701536,68.75,True,31,179.0
