feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
Import_CN,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-1051.8540849061765,-1039.7849655589168,-1051.8540849061765,151.0,1.0,True,,,,
Import_CN,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-1042.015308889783,-1029.9461895425234,-1042.015308889783,151.0,2.0,True,,,,
Import_CN,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-1003.7136249818295,-991.6445056345698,-1003.7136249818295,151.0,,False,,,,
USD_VND,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-936.1889962249826,-924.1198768777228,-936.1889962249826,151.0,,False,,,,
USD_VND,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-952.6486333966783,-940.5795140494185,-952.6486333966783,151.0,,False,,,,
USD_VND,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-968.8202527584502,-956.7511334111905,-968.8202527584502,151.0,,False,,,,
USD_VND,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-976.5866917114225,-964.5175723641628,-976.5866917114225,151.0,3.0,True,,,,
USD_VND,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-977.2864989429029,-965.2173795956431,-977.2864989429029,151.0,2.0,True,,,,
USD_VND,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-979.5800080311383,-967.5108886838785,-979.5800080311383,151.0,1.0,True,,,,
__ffnn_combo__,VMD1,,"(1,)",,,,,,,,,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",,,,,,,,aic,,,,,,,,1.0,-4993.240123585232,full_product,full_product
