component,rank,lag_spec,nobs,AIC,BIC,HQIC,resid_Ljung_Box_lag12_stat,resid_Ljung_Box_lag12_pvalue,resid_ARCH_LM_stat,resid_ARCH_LM_pvalue,resid_Jarque_Bera_stat,resid_Jarque_Bera_pvalue,resid_skewness,resid_kurtosis
raw_no_vmd,149,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1], USD_VND:[1, 2, 3]",141,-52.19562961138632,-10.912991146091969,-35.41979310746783,50.83013952567998,9.980179082287209e-07,16.400850105615408,0.17355834060016487,144.22394127402208,4.810265782357188e-32,0.09670243980929283,7.950893910605982
raw_no_vmd,150,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1], USD_VND:[1, 2, 3, 4, 5, 6]",141,-47.73210265794857,-0.5519444118978782,-28.559718082041726,54.562163120110746,2.1681142350141446e-07,19.10363369879746,0.08605797251468336,125.31621908470056,6.136613614836569e-28,0.04381593790995277,7.61765534920879
raw_no_vmd,151,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4, 5, 6], USD_VND:[1, 2, 3]",141,-62.811837294518455,5.009640184179418,-35.25153446665236,23.86384151384716,0.021225831640672772,7.541010497423548,0.8198925592359104,116.95904116116517,4.00559381227007e-26,0.0004875007960730807,7.4618293276575125
raw_no_vmd,152,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2, 3, 4, 5, 6], USD_VND:[1, 2, 3, 4]",141,-66.23204456234184,-10.205606645156635,-43.46483787845246,25.41320851334458,0.012981712875745021,8.194171036482071,0.7697784043459615,113.99653693846517,1.7618402433630772e-25,0.09000098759968532,7.401279944605971
raw_no_vmd,153,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2, 3, 4, 5, 6], USD_VND:[1, 2, 3]",141,-66.93733615161685,-5.013378453675315,-41.773581395739114,24.9753957176453,0.014939897795350772,8.787909129040123,0.7209311305673287,141.16213963719284,2.2234678334148987e-31,0.128489507472941,7.895054649541247
raw_no_vmd,154,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2, 3, 4, 5, 6], USD_VND:[1, 2, 3]",141,-67.65269547807586,-11.62625756089065,-44.88548879418647,23.35992277222456,0.024821153056221793,7.734902671794722,0.8054886043728465,126.4560107291003,3.4707726652874987e-28,0.1117120256758357,7.634059672837882
raw_no_vmd,155,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1], USD_VND:[1, 2, 3]",141,-47.65628720949961,2.4726309269292557,-27.28562859759859,53.6063655083449,3.212412376195895e-07,15.628694499137998,0.20884037410192627,125.47948800918795,5.655556986519038e-28,0.01941034218591359,7.62133137520272
raw_no_vmd,156,"target:[1, 11] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2, 3, 4, 5, 6], USD_VND:[1, 2, 3, 4, 5, 6]",141,-62.525556994672215,-0.6015992967306829,-37.36180223879448,25.75641983470546,0.011618319011583892,8.42564591135299,0.7510461533063418,109.8051905796217,1.43253691949532e-24,0.09340484583345364,7.319183643252658
raw_no_vmd,157,"target:[1, 11] | US_Retail:[1, 2, 3], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1], USD_VND:[1, 2, 3, 4]",141,-48.40581959033598,-1.2256613442852853,-29.233435014429134,50.211431058871185,1.2825465772298056e-06,16.305943662866266,0.1776216739182675,138.38131963267443,8.93055074427931e-31,0.08972633102445864,7.849955042431075
raw_no_vmd,158,"target:[1, 11] | US_Retail:[1, 2], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1], USD_VND:[1, 2, 3]",141,-50.11864494888296,-5.887246593210435,-32.14453440897029,56.415464029878976,1.0075778717619723e-07,19.174419176501026,0.08440525243198485,140.23103878035076,3.5417412779651444e-31,0.04327317011840881,7.884835996723033
