group,series,nobs,mean,std,ADF_stat,ADF_pvalue,KPSS_stat,KPSS_pvalue,stationarity_decision,Diff1_ADF_stat,Diff1_ADF_pvalue,Diff1_KPSS_stat,Diff1_KPSS_pvalue,diff1_stationarity_decision,Jarque_Bera_stat,Jarque_Bera_pvalue,ARCH_LM_stat,ARCH_LM_pvalue,Ljung_Box_lag12_stat,Ljung_Box_lag12_pvalue
train_raw_cached_vmd,Export_US,152,0.013288800454751665,0.21164030986034443,-6.337994171598874,2.799681294240835e-08,0.25137630203644795,0.1,Stationary,-8.54174578548936,9.740998000714693e-14,0.1624977516583322,0.1,Stationary,45.33718741170998,1.4294034995781848e-10,22.84236008139848,0.029094459465611882,77.75407032124957,1.1046322972734878e-11
train_raw_cached_vmd,US_Retail,152,0.002492496018101116,0.02096030402146041,-5.4569492121203185,2.5690365750173994e-06,0.188866425541145,0.1,Stationary,-5.680760453522427,8.497098751427273e-07,0.13526661049688082,0.1,Stationary,7512.04599459608,0.0,57.82177847117543,5.614342061715787e-08,8.307698690215119,0.7606462343856834
train_raw_cached_vmd,PCE,152,0.0025226976287459945,0.014505558894748994,-7.300387979166091,1.3434256960355159e-10,0.12232252915326715,0.1,Stationary,-5.948180186467776,2.178864841238507e-07,0.10903587030159805,0.1,Stationary,11717.349744063386,0.0,64.31433927168149,3.6493008762819704e-09,24.987635238740545,0.014881576095883467
train_raw_cached_vmd,US_Sentiment,152,0.00016572532124051333,0.05555217164939192,-10.490047130112908,1.1533028296652814e-18,0.10667345245119444,0.1,Stationary,-6.812280134077512,2.101459905085769e-09,0.13422908176177273,0.1,Stationary,44.46634325742737,2.2093079047833315e-10,6.754367731087967,0.8734099029509013,19.173749984017718,0.08442074642885854
train_raw_cached_vmd,Import_CN,152,0.010989035887304552,0.21497706281772114,-6.211025681103392,5.5073931678494006e-08,0.15763210387778745,0.1,Stationary,-6.763404433947654,2.7555502153121845e-09,0.13929982077695294,0.1,Stationary,63.6139777113622,1.536031966812087e-14,19.35988970296267,0.08020553795021684,64.87362351328724,2.8769220362664413e-09
train_raw_cached_vmd,USD_VND,152,0.002491621433702541,0.013316613492687361,-12.331607945227704,6.408138810566069e-23,0.5624201054380576,0.02760808436079782,Mixed/unclear,-9.123396883645716,3.1606121696755174e-15,0.016373530439840734,0.1,Stationary,219.50097399189647,2.167549935642644e-48,8.354861590467856,0.7568207980238658,32.89987008323438,0.0010034590474866365
train_VMD1_cached_vmd,Export_US,152,0.0004825151962534801,0.01921046759195927,-3.3685364485175917,0.01207938268306126,0.0366118905995738,0.1,Stationary,-5.722707093036652,6.882426730396055e-07,0.01826362558914154,0.1,Stationary,21.223374084269878,2.4626510267301314e-05,137.41444408073366,1.9904877940360548e-23,639.6944189838711,3.503276391039149e-129
train_VMD1_cached_vmd,US_Retail,152,-0.00026735518918195866,0.003085682757766398,-4.955796343219418,2.712608275408873e-05,0.06982191677990741,0.1,Stationary,-5.641197649491994,1.0355732255576355e-06,0.07190185226239651,0.1,Stationary,186.84349060053637,2.6757869191972016e-41,136.14864445704777,3.5812600420226015e-23,384.36050207444566,7.725514393097097e-75
train_VMD1_cached_vmd,PCE,152,-0.00019254648112636657,0.0026930316343575737,-4.528829011052634,0.00017435247953199342,0.07755806887914071,0.1,Stationary,-5.812409209393883,4.3702973156971486e-07,0.05798835148298853,0.1,Stationary,1258.1632192429277,6.213385142281858e-274,139.26662499022663,8.421670860841961e-24,326.31236984648007,1.3785970017229778e-62
train_VMD1_cached_vmd,US_Sentiment,152,-4.6821558746253465e-07,0.00914098814277832,-3.5064959364731028,0.007821823504409511,0.06919321701119521,0.1,Stationary,-8.224444726314635,6.301462280408092e-13,0.03294177232923374,0.1,Stationary,68.60404585745462,1.2671286891928578e-15,136.52804772878483,3.0033069384956396e-23,414.71095763161514,2.894703829680376e-81
