split,scale,RMSE,MAE,MAPE,Directional_Accuracy
validation,raw_transformed,0.11124798248642412,0.08307757862022969,154.5729589207213,71.875
validation,level,891412.921165522,678005.9350639579,8.642905173135832,56.25
test,raw_transformed,0.1142613550023527,0.08433872681849774,212.41010219965273,62.5
test,level,1189585.361388728,899776.879293141,8.535896519340408,53.125
