date,split,component,actual_raw_transformed,predicted_raw_transformed,actual_level,predicted_level
2023-07-01,test,raw_no_vmd,0.06812666100404563,-0.0007763972806555317,8674976.959999995,8097372.380952625
2023-08-01,test,raw_no_vmd,0.039234300062261696,-0.04627296299288135,9022098.620000003,8282705.837067893
2023-09-01,test,raw_no_vmd,-0.1058497809460004,0.007441182632669625,8115916.950000001,9089484.106482908
2023-10-01,test,raw_no_vmd,0.10507979669976386,0.039864273295895626,9015154.419999998,8445987.380182207
2023-11-01,test,raw_no_vmd,-0.04374756769199806,-0.030573362008350986,8629265.730000008,8743701.597336413
2023-12-01,test,raw_no_vmd,0.05766110339446584,0.04930944161754811,9141463.759999994,9065435.270561822
2024-01-01,test,raw_no_vmd,0.0947774749324175,-0.09385167646650075,10050254.890000002,8322551.2210384905
2024-02-01,test,raw_no_vmd,-0.3968092121206439,-0.047341610643990645,6758417.630000002,9585546.449054608
2024-03-01,test,raw_no_vmd,0.28236125117895483,0.35348873072279685,8963403.729999991,9624168.770853152
2024-04-01,test,raw_no_vmd,0.02203507816835426,0.02339133885979723,9163105.17,9175541.16066999
2024-05-01,test,raw_no_vmd,0.059385698166405376,0.0012994111629994927,9723744.799999988,9175019.550308606
2024-06-01,test,raw_no_vmd,0.07510308461836956,-0.0004447080725203563,10482150.900000004,9719421.533559281
2024-07-01,test,raw_no_vmd,0.07412076477076823,-0.09283477819250777,11288614.610000001,9552845.977301622
2024-08-01,test,raw_no_vmd,0.045193808992106455,0.03539897288274612,11810494.140000008,11695376.98272143
2024-09-01,test,raw_no_vmd,-0.17315767918146108,-0.07400465048271973,9932684.570000008,10968020.591387562
2024-10-01,test,raw_no_vmd,0.06986642039984048,0.23469709956552848,10651462.550000016,12560134.763128117
2024-11-01,test,raw_no_vmd,-0.04861378399646554,-0.037450860237365456,10146039.449999988,10259933.427028462
2024-12-01,test,raw_no_vmd,0.03725054561795815,0.0007602215096006223,10531112.51999999,10153755.620054746
2025-01-01,test,raw_no_vmd,-0.0036809499048224836,-0.031166910447203648,10492419.280000016,10207952.38935667
2025-02-01,test,raw_no_vmd,-0.14692865412103728,-0.10873948275450965,9058688.649999997,9411323.014127107
