feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
US_Sentiment,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,4.0,-59.504877948603664,-44.76107849671282,-59.504877948603664,141.0,,False,,,,
US_Sentiment,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,5.0,-59.545187843829595,-44.80138839193875,-59.545187843829595,141.0,,False,,,,
US_Sentiment,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,6.0,-59.56272221022749,-44.81892275833665,-59.56272221022749,141.0,3.0,True,,,,
Import_CN,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,1.0,-60.35601936651791,-45.61221991462707,-60.35601936651791,141.0,2.0,True,,,,
Import_CN,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,2.0,-67.46714181278396,-52.72334236089312,-67.46714181278396,141.0,1.0,True,,,,
Import_CN,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,3.0,-59.4659142740384,-44.72211482214755,-59.4659142740384,141.0,,False,,,,
Import_CN,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,4.0,-59.511206792120646,-44.7674073402298,-59.511206792120646,141.0,,False,,,,
Import_CN,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,5.0,-59.61088365764773,-44.86708420575689,-59.61088365764773,141.0,,False,,,,
Import_CN,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,6.0,-60.16373905619359,-45.41993960430275,-60.16373905619359,141.0,3.0,True,,,,
USD_VND,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,1.0,-59.474678178150484,-44.73087872625964,-59.474678178150484,141.0,,False,,,,
USD_VND,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,2.0,-59.43769549265457,-44.693896040763725,-59.43769549265457,141.0,,False,,,,
USD_VND,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,3.0,-60.43721229701066,-45.693412845119816,-60.43721229701066,141.0,1.0,True,,,,
USD_VND,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,4.0,-59.86522013812824,-45.12142068623739,-59.86522013812824,141.0,2.0,True,,,,
USD_VND,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,5.0,-59.49105965760094,-44.7472602057101,-59.49105965760094,141.0,,False,,,,
USD_VND,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,6.0,-59.78231306383839,-45.03851361194754,-59.78231306383839,141.0,3.0,True,,,,
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,1.0,-315.46780965491257,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",,,,,,,,aic,,,,,,,,2.0,-314.89581749603013,full_product,full_product
__ffnn_combo__,raw_no_vmd,,"(1, 11)",,,,,,,,,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",,,,,,,,aic,,,,,,,,3.0,-314.8529884920848,full_product,full_product
