split,scale,RMSE,MAE,MAPE,Directional_Accuracy
test,reconstructed_transformed,0.11646685284602733,0.08475920880361282,159.03626818436402,65.625
test,level,1192388.884887637,892783.0923256319,8.558019502197476,53.125
validation,reconstructed_transformed,0.11312824662482142,0.08096873771565326,175.88461948071188,68.75
validation,level,898804.9102479505,657806.1203899509,8.471884025218268,56.25
