split,scale,RMSE,MAE,MAPE,Directional_Accuracy
test,reconstructed_transformed,0.11503346286471722,0.08826360958559315,185.6562170428817,65.625
test,level,1214215.2620556564,939874.8793541933,8.921142124146563,46.875
validation,reconstructed_transformed,0.10113167663270473,0.08067855457372732,187.70792387655638,68.75
validation,level,808632.5545310323,656220.5422535314,8.28779805296745,68.75
