split,scale,RMSE,MAE,MAPE,Directional_Accuracy
validation,raw_transformed,0.11245298499480816,0.08308885830485148,155.84183900088672,68.75
validation,level,900734.7422890731,678609.4679706857,8.680775469511996,56.25
test,raw_transformed,0.11514941536572855,0.08433942808812944,205.2574890894653,62.5
test,level,1201751.7777039832,901111.8653642643,8.544879810918838,50.0
