split,scale,RMSE,MAE,MAPE,Directional_Accuracy
validation,raw_transformed,0.569751910957353,0.4554126490094365,163.7913406951518,9.25925925925926
test,raw_transformed,0.5888670817828597,0.4478648110797242,165.76465493841042,28.30188679245283
