feature,exog_lag,target_lags,AIC,BIC,selected_ic,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,exog_lags,lag_spec,component
__ffnn_combo__,,"(1, 12)",,,aic,,,,,4.0,-524.1290699946536,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (1,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[6], Import_CN:[1], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,5.0,-524.106716827504,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (1,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[6], Import_CN:[1], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,6.0,-523.872362460757,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (1,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[6], Import_CN:[1], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,7.0,-523.3537397701027,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (3,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[6], Import_CN:[3], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,8.0,-523.3313866029532,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (3,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[6], Import_CN:[3], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,9.0,-523.0970322362062,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (3,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[6], Import_CN:[3], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,10.0,-524.3222755367281,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (2,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[2], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,11.0,-524.2999223695784,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (2,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[2], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,12.0,-524.0655680028315,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (2,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[2], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,13.0,-522.166196245123,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (1,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[1], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,14.0,-522.1438430779734,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (1,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[1], USD_VND:[6]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,15.0,-521.9094887112265,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (1,), 'USD_VND': (4,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[1], USD_VND:[4]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,16.0,-521.3908660205722,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (3,), 'USD_VND': (3,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[3], USD_VND:[3]",raw_no_vmd
__ffnn_combo__,,"(1, 12)",,,aic,,,,,17.0,-521.3685128534225,"{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (5,), 'Import_CN': (3,), 'USD_VND': (6,)}","target:[1, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[5], Import_CN:[3], USD_VND:[6]",raw_no_vmd
