dataset,model,uses_vmd,vmd_setting,vmd_modes,activation,split,scale,RMSE,MAE,MAPE,Directional_Accuracy
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,"relu,tanh",test,reconstructed_transformed,0.13055161219207473,0.09810329553646434,258.8969536714011,59.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,"relu,tanh",test,level,1356389.4579064501,1043958.0146259266,9.879126591451627,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,"relu,tanh",validation,reconstructed_transformed,0.11993988430827231,0.08933285882890263,129.10040854130278,53.125
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,"relu,tanh",validation,level,984239.7663606305,742378.1495529466,9.323862284715492,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,tanh,test,reconstructed_transformed,0.16972347823641737,0.12794903095832397,261.6273295050843,65.625
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,tanh,test,level,1760449.9718095171,1339007.4409312718,12.96047895219049,56.25
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,tanh,validation,reconstructed_transformed,0.11345537883478175,0.0875069944954502,181.647811446618,56.25
df_final,VMD_ARDL_FFNN,True,cached_vmd,8,tanh,validation,level,910498.1012912865,709424.9402811469,8.868723726752634,50.0
df_final,VMD_ARDL_FFNN,True,cached_vmd,9,"relu,tanh",test,reconstructed_transformed,0.11886310781391145,0.09462822492779671,180.54620212318497,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,9,"relu,tanh",test,level,1243660.0609453942,1004551.1611634677,9.548406704709066,43.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,9,"relu,tanh",validation,reconstructed_transformed,0.11094412916051806,0.08961071417341958,200.1757546894843,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,9,"relu,tanh",validation,level,913007.5555812437,743537.1627547041,9.217633483781583,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,10,"relu,tanh",test,reconstructed_transformed,0.13800205319916978,0.10911374019981886,377.08493507203735,56.25
df_final,VMD_ARDL_FFNN,True,cached_vmd,10,"relu,tanh",test,level,1463747.6408810546,1163600.8277289872,10.886746154542568,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,10,"relu,tanh",validation,reconstructed_transformed,0.13154867996595332,0.0994952452223279,173.4168267936494,59.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,10,"relu,tanh",validation,level,1047776.9311174469,809163.7697290513,10.12357879252061,34.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,reconstructed_transformed,0.11074816321165687,0.08057067512302557,157.25056631954232,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,level,1136059.2452569492,851987.4942859223,8.115838281996364,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,reconstructed_transformed,0.11892894753124186,0.08022530263145497,142.63397115243555,68.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,level,954015.1857300693,654342.5331130995,8.497430735137092,65.625
cpi_forecast_selected_variables,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,reconstructed_transformed,0.557796692660051,0.40234222015013255,151.19363158155414,52.83018867924528
cpi_forecast_selected_variables,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,reconstructed_transformed,0.5332973373803565,0.40608383372809465,117.61643670342082,33.33333333333333
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,reconstructed_transformed,0.11074816321165687,0.08057067512302557,157.25056631954232,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,level,1136059.2452569492,851987.4942859223,8.115838281996364,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,reconstructed_transformed,0.11892894753124186,0.08022530263145497,142.63397115243555,68.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,level,954015.1857300693,654342.5331130995,8.497430735137092,65.625
