split,date,predicted_reconstructed,component_count,actual_raw_transformed,actual_level,predicted_level
test,2023-07-01,0.019639734468123567,4,0.06812666100404563,8674976.959999995,8264388.512733108
test,2023-08-01,-0.059214342747588675,4,0.039234300062261696,9022098.620000003,8176206.8040102525
test,2023-09-01,-0.030324134400096587,4,-0.1058497809460004,8115916.950000001,8752617.82464699
test,2023-10-01,0.023496707952947546,4,0.10507979669976386,9015154.419999998,8308872.310828144
test,2023-11-01,-0.026845050492109106,4,-0.04374756769199806,8629265.730000008,8776361.68635725
test,2023-12-01,0.035163288519834454,4,0.05766110339446584,9141463.759999994,8938097.031939259
test,2024-01-01,-0.10370766669493862,4,0.0947774749324175,10050254.890000002,8240927.141343751
test,2024-02-01,-0.027364880839161186,4,-0.3968092121206439,6758417.630000002,9778959.771264082
test,2024-03-01,0.25966465780945813,4,0.28236125117895483,8963403.729999991,8762256.315640252
test,2024-04-01,0.08781606397695925,4,0.02203507816835426,9163105.17,9786130.218675261
test,2024-05-01,-0.06603972307713521,4,0.059385698166405376,9723744.799999988,8577524.82993922
test,2024-06-01,0.013705884893603491,4,0.07510308461836956,10482150.900000004,9857934.8228262
test,2024-07-01,-0.03449855970127404,4,0.07412076477076823,11288614.610000001,10126698.344784498
test,2024-08-01,-0.0011591932083725928,4,0.045193808992106455,11810494.140000008,11275536.506101206
test,2024-09-01,-0.07638861138584874,4,-0.17315767918146108,9932684.570000008,10941904.401469624
test,2024-10-01,0.07666535361868726,4,0.06986642039984048,10651462.550000016,10724127.875994226
test,2024-11-01,-0.017977469385631543,4,-0.04861378399646554,10146039.449999988,10461687.159817535
test,2024-12-01,-0.01545535301144616,4,0.03725054561795815,10531112.51999999,9990434.39159545
test,2025-01-01,0.0028443197670795996,4,-0.0036809499048224836,10492419.280000016,10561109.011093212
test,2025-02-01,-0.11516179452517829,4,-0.14692865412103728,9058688.649999997,9351074.238850595
test,2025-03-01,0.10971657470265453,4,0.26801912030960295,11843077.140000006,10109149.892223714
test,2025-04-01,0.04299933452458375,4,0.013791260721308873,12007539.570000017,12363428.790524365
test,2025-05-01,-0.03951687087312764,4,0.13445838212091488,13735629.250000006,11542292.279802904
test,2025-06-01,0.04066765806151524,4,0.002299227450489383,13767246.919999983,14305739.067921001
test,2025-07-01,-0.04187820469089513,4,0.03180734201207258,14212185.089999977,13202604.95069816
test,2025-08-01,-0.030365222381961786,4,-0.020133657730841747,13928903.140000004,13787115.259853974
test,2025-09-01,-0.05198389853157846,4,-0.015653354809114006,13712566.69000002,13223322.747460112
test,2025-10-01,0.013149185300392236,4,-0.022804299333234468,13403399.780000003,13894066.442169806
test,2025-11-01,-0.025051600786831656,4,-0.0601797333208296,12620577.999999985,13071794.128047023
test,2025-12-01,-0.00531146173512375,4,0.13166214702282986,14396581.800000003,12553721.991619319
test,2026-01-01,-0.02840020100333791,4,-0.03526523774703705,13897730.669999987,13993467.34359923
test,2026-02-01,-0.1275321295723238,4,-0.3347205483677236,9944354.64000001,12233687.734368924
test,2026-03-01,0.27389732899564534,4,0.42366998853572824,15190572.510000004,13077619.659964146
validation,2020-10-01,-0.011191141075275768,4,-0.017511510173097378,7622404.360000007,7670733.336569777
validation,2020-11-01,-0.03517974113489831,4,-0.08302994751314685,7015078.510000002,7358912.116826947
validation,2020-12-01,0.05972944292166574,4,0.09289051242615898,7697937.359999999,7446851.667789377
validation,2021-01-01,-0.15741737394036825,4,-0.22435968393485695,6150865.069999998,6576712.784671986
validation,2021-02-01,0.17671986431244888,4,0.11150233060067194,6876398.660000002,7339807.367172074
validation,2021-03-01,0.04884640628270468,4,0.11790935446257045,7736925.75,7220624.684771585
validation,2021-04-01,0.0350613761559906,4,0.018257745621006904,7879481.990000002,8013004.584546326
validation,2021-05-01,-0.10361274577451365,4,-0.026428527548890912,7673966.5799999945,7103938.997751933
validation,2021-06-01,0.03570354622285983,4,0.05448237206710793,8103661.600000002,7952904.302908722
validation,2021-07-01,0.013724080779102688,4,0.06812666100404563,8674976.959999995,8215643.573581988
validation,2021-08-01,0.030450353165198053,4,0.039234300062261696,9022098.620000003,8943196.030229162
validation,2021-09-01,-0.022901985971569457,4,-0.1058497809460004,8115916.950000001,8817822.734202892
validation,2021-10-01,0.007915813459694103,4,0.10507979669976386,9015154.419999998,8180415.978978811
validation,2021-11-01,-0.05087157461255093,4,-0.04374756769199806,8629265.730000008,8568009.236134548
validation,2021-12-01,0.06225660205732997,4,0.05766110339446584,9141463.759999994,9183570.0200144
validation,2022-01-01,-0.073836250236435,4,0.06315286941362075,9737392.689999985,8490808.88830588
validation,2022-02-01,-0.024280428831949433,4,-0.4065003982432369,6484877.9200000055,9503811.81697482
validation,2022-03-01,0.28728228398348443,4,0.406385601172337,9736274.929999987,8643047.811682537
validation,2022-04-01,0.04223828022837864,4,0.05095998495557197,10245295.029999994,10156327.131742531
validation,2022-05-01,-0.024452937160085314,4,-0.056192962400160695,9685458.300000003,9997805.726619702
validation,2022-06-01,0.041952988084498814,4,0.10061080422327251,10710626.939999996,10100436.13322898
validation,2022-07-01,-0.06800628466959334,4,-0.030748018348262462,10386308.020000016,10006452.509827819
validation,2022-08-01,0.05980802463246947,4,-0.03627443655287266,10016302.000000007,11026444.43039084
validation,2022-09-01,0.015488162527813373,4,-0.20427419308441586,8165678.1000000015,10172643.710918237
validation,2022-10-01,0.09817384234033057,4,0.0049184292646273775,8205939.339999999,9008004.89602009
validation,2022-11-01,0.01687186535327759,4,-0.04531648223019147,7842374.979999997,8345563.390635219
validation,2022-12-01,0.0068321951928118005,4,0.04121610223450389,8172360.759999996,7896139.07088304
validation,2023-01-01,0.07447766870395621,4,-0.28416508812979835,6150865.069999998,8804258.197678434
validation,2023-02-01,-0.031100966582816206,4,0.11150233060067194,6876398.660000002,5962511.393858429
validation,2023-03-01,-0.006777835973042549,4,0.11790935446257045,7736925.75,6829949.149200319
validation,2023-04-01,0.04430188001039687,4,0.018257745621006904,7879481.990000002,8087391.9433248015
validation,2023-05-01,-0.015188753143886527,4,-0.026428527548890912,7673966.5799999945,7760706.790173914
validation,2023-06-01,0.10199858009039342,4,0.05448237206710793,8103661.600000002,8498011.686867533
