group,series,nobs,mean,std,ADF_stat,ADF_pvalue,KPSS_stat,KPSS_pvalue,stationarity_decision,Diff1_ADF_stat,Diff1_ADF_pvalue,Diff1_KPSS_stat,Diff1_KPSS_pvalue,diff1_stationarity_decision,Jarque_Bera_stat,Jarque_Bera_pvalue,ARCH_LM_stat,ARCH_LM_pvalue,Ljung_Box_lag12_stat,Ljung_Box_lag12_pvalue
train_raw_cached_vmd,cpi_mom_inflation,251,0.024206106620051328,0.8499668911101672,-5.2395371910523165,7.296899888286647e-06,0.1161504681572779,0.1,Stationary,-13.506910408229627,2.903423772251405e-25,0.08749488276319733,0.1,Stationary,121.10239539344764,5.046020001861636e-27,96.88221811378563,2.266738169159048e-15,119.07387379630667,9.453263728697899e-20
train_raw_cached_vmd,broad_money,251,4.75494422310757,1.9657702156855703,-1.2160507557245672,0.666653252600617,1.5964534418601894,0.01,Non-stationary,-3.963919701880061,0.0016116795295210702,0.10049053749756223,0.1,Stationary,47.3132858236358,5.3217016493852515e-11,223.70761996177907,4.0388195644583286e-41,2378.4086466569115,0.0
train_raw_cached_vmd,ppi_qoq,251,-0.7300000000000001,1.1124412546581783e-16,,,,,Mixed/unclear,,,,,Mixed/unclear,,,,,,
train_raw_cached_vmd,wti,251,53.376932270916335,31.66938581897973,-1.7596621110779789,0.40066411694696163,1.934635037546577,0.01,Non-stationary,-7.746520116460385,1.0285166454563487e-11,0.10621744877637809,0.1,Stationary,20.895320006719327,2.9016091476682435e-05,201.02278239120668,2.0057639586323217e-36,2280.12796456091,0.0
train_raw_cached_vmd,gold,251,710.3350575967614,482.12371687377805,-1.0708615871739182,0.7265510176774109,2.0267601808957236,0.01,Non-stationary,-3.3434496823649775,0.013044523125491503,0.16523872620723887,0.1,Stationary,30.655827887016535,2.2037968361796345e-07,225.60466801594163,1.6311151022410324e-41,2836.7873551075286,0.0
train_raw_cached_vmd,policy_rate,251,8.198804780876495,2.8745988530118516,-3.0088807546537075,0.03407333159864792,0.2828877475623656,0.1,Stationary,-6.750461713417722,2.96011524574782e-09,0.05100837664710326,0.1,Stationary,25.403058327071147,3.0464634535591636e-06,220.51212772712927,1.858635499834148e-40,1673.0023015636298,0.0
train_raw_cached_vmd,VNINDEX,251,342.7594820717132,234.53917987093473,-2.1467403416394624,0.2261398904490683,1.4649555559623302,0.01,Non-stationary,-4.394140593009784,0.0003040008650719782,0.04032294466380817,0.1,Stationary,56.09558685545093,6.591709883169278e-13,217.11264957290516,9.418063574106482e-40,1992.8450260047262,0.0
train_raw_cached_vmd,NIKKEI225,251,13921.420048322336,3839.1303668380306,-1.546405372778048,0.5104432568664223,0.5768629867399337,0.02473972847818784,Non-stationary,-14.572582001428476,4.6030222305731024e-27,0.2229557304479642,0.1,Stationary,14.84015936375431,0.0005991014060876966,200.24676577005397,2.900528098412652e-36,1981.699598075853,0.0
train_raw_cached_vmd,USDVND,251,16339.701195219124,3293.7657564493816,-0.35123432606166827,0.9179280482871939,2.25135318292641,0.01,Non-stationary,-2.7915184639204433,0.05949554581342003,0.1401734960065218,0.1,Mixed/unclear,10.524953696391004,0.005182452660456638,236.5600874455518,8.621796018257754e-44,2613.5415781840506,0.0
train_VMD1_cached_vmd,cpi_mom_inflation,251,0.001552176325608242,0.08090940934629676,-7.60506009435178,2.334104229042225e-11,0.017358340655679278,0.1,Stationary,-9.230648878746896,1.6819723252774743e-15,0.009580634048561732,0.1,Stationary,6.549931489392382,0.03781816467985755,235.36790844919258,1.5261610425496416e-43,1214.9378378413444,1.0510493376890916e-252
train_VMD1_cached_vmd,broad_money,251,-0.049063717989912416,0.47412961794440545,-0.8587652336695287,0.8012482717045188,0.3803906546042032,0.08560747646370552,Mixed/unclear,-0.9399222346855193,0.7745414159935318,0.5171605728714443,0.037801672776701725,Non-stationary,4.31364108133026,0.11569237609757504,238.9926835451381,2.6877587877576566e-44,2262.62570793411,0.0
train_VMD1_cached_vmd,ppi_qoq,251,0.0,0.0,,,,,Mixed/unclear,,,,,Mixed/unclear,,,,,,
train_VMD1_cached_vmd,wti,251,0.6246079559396224,7.4338213394006685,-2.385427817467133,0.14589160943928386,0.7438535657633923,0.01,Non-stationary,-2.9856162545889404,0.03625967031672239,0.3674995282750911,0.0911639964331504,Stationary,3.713818759787822,0.15615449958315775,238.98968218702302,2.69162771050066e-44,2428.1655721949314,0.0
train_VMD1_cached_vmd,gold,251,-8.931426110851465,137.1331524535714,-1.962070885478442,0.30344719615561433,0.5508628836444758,0.03021106224223518,Non-stationary,-2.7145788000075752,0.0715492972591545,0.23553666388009,0.1,Mixed/unclear,12.607572179664183,0.0018293655068233907,238.99754031865496,2.6815099008385803e-44,2476.3682651001477,0.0
train_VMD1_cached_vmd,policy_rate,251,-0.09475956154296045,0.8398935098862299,-3.0368897222044318,0.03159004638916092,0.42723486120285126,0.06541600810221929,Stationary,-4.6712979120637295,9.524492115599344e-05,0.23872220722876963,0.1,Stationary,4.161045327062631,0.12486493279377486,238.99376040890672,2.686372004107965e-44,2419.5993386517484,0.0
train_VMD1_cached_vmd,VNINDEX,251,2.0110904478051865,43.824997965544036,-1.6193493605202893,0.4730704198285481,0.49558128033583027,0.04266187379823643,Non-stationary,-2.1540739150326442,0.22333395446372928,0.24257319285216947,0.1,Mixed/unclear,7.6910225064753455,0.021375470488628,238.99476489719987,2.6850790702693926e-44,1861.2414676375884,0.0
train_VMD1_cached_vmd,NIKKEI225,251,-420.4199176289493,1214.2175913106396,-2.8056846740177797,0.05746632977194245,0.2702026935885716,0.1,Mixed/unclear,-2.6856663352643655,0.07655163134362976,0.5332019908203252,0.034188740806233076,Non-stationary,3.7901902753112355,0.15030403479266471,238.98828919190447,2.693425252111019e-44,2058.5545901984387,0.0
train_VMD1_cached_vmd,USDVND,251,-38.77011589165251,865.349159450864,-0.6268312520510715,0.8648032836810222,0.4171811540491314,0.06974950256502957,Mixed/unclear,-0.690876675871237,0.8490985526001551,0.5911284643027983,0.023442866881563787,Non-stationary,0.28322341853575744,0.8679582111927604,238.99936720604518,2.679163127195844e-44,2112.4506754787403,0.0
train_VMD2_cached_vmd,cpi_mom_inflation,251,-0.00023339170535364707,0.09646801656620073,-5.593222975407255,1.314635865925332e-06,0.05355393905066211,0.1,Stationary,-13.151055430402604,1.3667254424789209e-24,0.04106048975315844,0.1,Stationary,12.59826275271439,0.0018379005277266878,229.37171116264003,2.6922534265422858e-42,1176.2307678555173,2.2728311201189267e-244
train_VMD2_cached_vmd,broad_money,251,-0.005511022609783243,0.29979699687220174,-3.974451547152962,0.0015503601142250066,0.06574917197791465,0.1,Stationary,-4.550657238697907,0.00015909981486333325,0.050869113892290596,0.1,Stationary,51.761842857508476,5.755176364679998e-12,238.98358008998096,2.6995108371677046e-44,1797.380014972156,0.0
train_VMD2_cached_vmd,ppi_qoq,251,0.0,0.0,,,,,Mixed/unclear,,,,,Mixed/unclear,,,,,,
