date,split,component,actual_raw_transformed,predicted_raw_transformed,actual_level,predicted_level
2023-07-01,test,raw_no_vmd,0.06812666100404563,-0.012289074948580227,8674976.959999995,8004684.509317265
2023-08-01,test,raw_no_vmd,0.039234300062261696,-0.07738312408061032,9022098.620000003,8028996.456308956
2023-09-01,test,raw_no_vmd,-0.1058497809460004,-0.021631025809337234,8115916.950000001,8829036.960523576
2023-10-01,test,raw_no_vmd,0.10507979669976386,0.060845536952581394,9015154.419999998,8625066.956764802
2023-11-01,test,raw_no_vmd,-0.04374756769199806,-0.07987321313291561,8629265.730000008,8323091.602116778
2023-12-01,test,raw_no_vmd,0.05766110339446584,0.12206741854573745,9141463.759999994,9749605.63589657
2024-01-01,test,raw_no_vmd,0.0947774749324175,-0.01095532248990483,10050254.890000002,9041862.6537665
2024-02-01,test,raw_no_vmd,-0.3968092121206439,-0.13308924986181617,6758417.630000002,8797862.079974666
2024-03-01,test,raw_no_vmd,0.28236125117895483,0.025573773963443493,8963403.729999991,6933484.898878011
2024-04-01,test,raw_no_vmd,0.02203507816835426,-0.041742979670528174,9163105.17,8596946.273800975
2024-05-01,test,raw_no_vmd,0.059385698166405376,0.004953594143328612,9723744.799999988,9208608.082539136
2024-06-01,test,raw_no_vmd,0.07510308461836956,0.021398306826856662,10482150.900000004,9934058.629720066
2024-07-01,test,raw_no_vmd,0.07412076477076823,0.012142326531902755,11288614.610000001,10610204.459746655
2024-08-01,test,raw_no_vmd,0.045193808992106455,0.06304367538150162,11810494.140000008,12023202.643883768
2024-09-01,test,raw_no_vmd,-0.17315767918146108,-0.05207907793484217,9932684.570000008,11211156.428628834
2024-10-01,test,raw_no_vmd,0.06986642039984048,-0.0031502837130929166,10651462.550000016,9901443.03126466
2024-11-01,test,raw_no_vmd,-0.04861378399646554,-0.05337974581657725,10146039.449999988,10097798.861071378
2024-12-01,test,raw_no_vmd,0.03725054561795815,-0.023505436701159656,10531112.51999999,9910333.401055811
2025-01-01,test,raw_no_vmd,-0.0036809499048224836,-0.035564162173660874,10492419.280000016,10163163.998172568
2025-02-01,test,raw_no_vmd,-0.14692865412103728,-0.20464030913011685,9058688.649999997,8550696.263424866
2025-03-01,test,raw_no_vmd,0.26801912030960295,0.0817430690707823,11843077.140000006,9830280.197060587
2025-04-01,test,raw_no_vmd,0.013791260721308873,-0.08441919839075439,12007539.570000017,10884331.640082994
2025-05-01,test,raw_no_vmd,0.13445838212091488,-0.061522946639438185,13735629.250000006,11291066.110736677
2025-06-01,test,raw_no_vmd,0.002299227450489383,-0.042928401133949134,13767246.919999983,13158457.805243768
2025-07-01,test,raw_no_vmd,0.03180734201207258,-0.05933660301915753,14212185.089999977,12974109.004803233
2025-08-01,test,raw_no_vmd,-0.020133657730841747,-0.06935414883585182,13928903.140000004,13259914.71171125
2025-09-01,test,raw_no_vmd,-0.015653354809114006,0.028467069420930906,13712566.69000002,14331115.940973205
2025-10-01,test,raw_no_vmd,-0.022804299333234468,0.006092371569961408,13403399.780000003,13796363.743656019
2025-11-01,test,raw_no_vmd,-0.0601797333208296,0.015699207444315407,12620577.999999985,13615482.946511284
2025-12-01,test,raw_no_vmd,0.13166214702282986,0.013682247156489198,14396581.800000003,12794442.584224915
2026-01-01,test,raw_no_vmd,-0.03526523774703705,-0.0640079619035291,13897730.669999987,13503958.186912764
2026-02-01,test,raw_no_vmd,-0.3347205483677236,0.036395471716485904,9944354.64000001,14412862.504563853
2026-03-01,test,raw_no_vmd,0.42366998853572824,0.3644601000563639,15190572.510000004,14317250.19129519
2020-10-01,validation,raw_no_vmd,-0.017511510173097378,0.031964953488308745,7622404.360000007,8009019.278141181
2020-11-01,validation,raw_no_vmd,-0.08302994751314685,-0.1832155624928098,7015078.510000002,6346327.443537056
2020-12-01,validation,raw_no_vmd,0.09289051242615898,0.027335693379410664,7697937.359999999,7209485.565432178
2021-01-01,validation,raw_no_vmd,-0.22435968393485695,-0.03973315460013925,6150865.069999998,7398070.7965322
2021-02-01,validation,raw_no_vmd,0.11150233060067194,0.15890276133913864,6876398.660000002,7210191.383030736
2021-03-01,validation,raw_no_vmd,0.11790935446257045,0.16707706659668653,7736925.75,8126839.730162434
2021-04-01,validation,raw_no_vmd,0.018257745621006904,0.03786043311278256,7879481.990000002,8035464.859904345
2021-05-01,validation,raw_no_vmd,-0.026428527548890912,0.020656992515185015,7673966.5799999945,8043941.158388447
2021-06-01,validation,raw_no_vmd,0.05448237206710793,0.15616992925843493,8103661.600000002,8971057.535977835
2021-07-01,validation,raw_no_vmd,0.06812666100404563,0.02373578905185654,8674976.959999995,8298309.32250063
2021-08-01,validation,raw_no_vmd,0.039234300062261696,0.011057550198594526,9022098.620000003,8771433.25556939
2021-09-01,validation,raw_no_vmd,-0.1058497809460004,-0.012536443999244782,8115916.950000001,8909699.599976141
2021-10-01,validation,raw_no_vmd,0.10507979669976386,-0.045170713823635994,9015154.419999998,7757471.746257781
2021-11-01,validation,raw_no_vmd,-0.04374756769199806,-0.09028968309376434,8629265.730000008,8236844.344285134
2021-12-01,validation,raw_no_vmd,0.05766110339446584,0.0343649268197361,9141463.759999994,8930964.045327753
2022-01-01,validation,raw_no_vmd,0.06315286941362075,-0.16258568602315046,9737392.689999985,7769725.498809548
2022-02-01,validation,raw_no_vmd,-0.4065003982432369,0.008224330900003369,6484877.9200000055,9817806.451013055
2022-03-01,validation,raw_no_vmd,0.406385601172337,0.413116828736565,9736274.929999987,9802033.080430597
