component,rank,lag_spec,nobs,AIC,BIC,HQIC,resid_Ljung_Box_lag12_stat,resid_Ljung_Box_lag12_pvalue,resid_ARCH_LM_stat,resid_ARCH_LM_pvalue,resid_Jarque_Bera_stat,resid_Jarque_Bera_pvalue,resid_skewness,resid_kurtosis
raw_no_vmd,1,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",151,-64.93067328294927,-19.671475730725405,-46.54403563298913,46.64552790910392,5.368656615814895e-06,10.084707785628241,0.6085293711458573,121.67706346603039,3.785832378700457e-27,-0.19851599224880548,7.424226633037689
raw_no_vmd,2,"target:[1] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",151,-68.23247617865464,-29.007838300060627,-52.29739021535585,47.8603003098635,3.305568636690014e-06,10.548520220498158,0.5679541543929509,118.00263977495648,2.3771267972893783e-26,-0.18285952037752334,7.359106879852673
raw_no_vmd,3,"target:[1] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",151,-63.54843309515954,-15.27195570612075,-43.93601960186872,47.255124023114604,4.210504107080435e-06,10.153234632878531,0.6025194260184936,125.50527935843314,5.583093003999258e-28,-0.1868328536405,7.495840455658084
raw_no_vmd,4,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]",151,-61.24048214348217,-9.946724917628458,-40.40229280686068,46.05709403708948,6.78293747015118e-06,10.486510454843534,0.573359358522628,109.97392709120771,1.3166342718094751e-24,-0.19219964460297106,7.234399958632887
raw_no_vmd,5,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]",151,-65.54194400456726,-23.30002628915831,-48.38108219793779,47.371232160387805,4.019728279517746e-06,10.454528780977805,0.576150204462512,118.4429875969262,1.9073572007500898e-26,-0.21032872979003608,7.347540962197257
raw_no_vmd,6,"target:[1] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]",151,-64.586728503359,-19.32753095113513,-46.200090853398855,47.17060048424505,4.35497990944354e-06,11.000238041056074,0.5288982864363081,107.50914046919364,4.515301658993707e-24,-0.17582634143047876,7.189161707338375
raw_no_vmd,7,"target:[1] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]",151,-68.85733219010541,-32.64997414832632,-54.1480220701373,48.360076854101905,2.7053571987737137e-06,10.896689452611405,0.5377926005223499,116.10146843077295,6.15016064403582e-26,-0.1916741526428346,7.307429830367094
raw_no_vmd,8,"target:[1] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]",151,-59.77522394545406,-5.464186882785427,-37.71125876550189,46.613531472463485,5.43745443417806e-06,10.44864085990828,0.5766642228689751,113.78220188388127,1.9611408748602973e-25,-0.18173532746400567,7.30950260243065
raw_no_vmd,9,"target:[1] | US_Retail:[1], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]",151,-65.54837773392074,-20.289180181696878,-47.1617400839606,47.23944472517938,4.236942368214963e-06,10.150990380015978,0.602716209868315,125.56484993031697,5.419251133609118e-28,-0.1864687838065466,7.496975108551352
raw_no_vmd,10,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",151,-58.48886385927594,-1.16054695979237,-35.199122835993094,46.45241265721001,5.7973311929824574e-06,9.003583499766139,0.7026243254279108,113.32799500117402,2.4611527168148894e-25,-0.2464139519460603,7.287934247326221
raw_no_vmd,11,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2, 3, 4], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",151,-61.82738656778044,-10.533629341926726,-40.98919723115895,45.072005507051934,1.0016355686199722e-05,9.582735958095496,0.6525145876349256,126.74144901703194,3.009151349493456e-28,-0.22561282951883813,7.510993550515602
raw_no_vmd,12,"target:[1] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",151,-61.54041237441851,-10.246655148564798,-40.70222303779702,47.72891017975942,3.4840847436090066e-06,9.425569313590593,0.6662152389317915,110.49516962721692,1.0145624321863497e-24,-0.20599125111158048,7.2419170130524275
