candidate_id,component,lag_spec,target_lags,exog_lags,HR,hidden_layers,hidden_units_per_layer,hidden_layer_sizes,alpha,seed,activation,max_iter,n_train,n_val,forecast_safe_no_exog_lag0,uses_vmd,search_strategy,search_stage,selected_for_hyperparam_search,fast_screen_rmse,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,eligible_final_selection,combo_id,n_refit_train_val
2518,RES,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","(1, 11)","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",4,1,4,"(4,)",0.1,42,tanh,500,141,33,True,True,staged_halving,hyperparam_search,True,0.14947296350490963,0.11728970240000312,0.07752028637231524,115.82666829378496,78.125,True,67,174.0
559,VMD1,"target:[1, 6] | US_Retail:[1, 2], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2, 3, 4, 5], USD_VND:[1, 2, 3]","(1, 6)","{'US_Retail': (1, 2), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2, 3, 4, 5), 'USD_VND': (1, 2, 3)}",4,3,4,"(4, 4, 4)",0.001,42,tanh,500,146,33,True,True,staged_halving,hyperparam_search,True,0.014996829583933934,0.014399270252364229,0.012081684464855086,302.4839849556122,46.875,True,67,179.0
1256,VMD2,"target:[1, 2, 3] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4, 5, 6], USD_VND:[1, 2, 3]","(1, 2, 3)","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4, 5, 6), 'USD_VND': (1, 2, 3)}",14,1,14,"(14,)",0.0001,123,tanh,500,146,33,True,True,staged_halving,hyperparam_search,True,0.015127610115015913,0.013857870129408105,0.010197695241832207,239.95415551093097,78.125,True,67,179.0
1857,VMD3,"target:[1, 2, 3] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4, 5], USD_VND:[1, 2, 3, 4, 5, 6]","(1, 2, 3)","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4, 5), 'USD_VND': (1, 2, 3, 4, 5, 6)}",16,2,16,"(16, 16)",0.0001,7,tanh,500,146,33,True,True,staged_halving,hyperparam_search,True,0.018193815925274984,0.0181876108792059,0.014440407333790692,169.440439666855,75.0,True,67,179.0
