date,split,actual,predicted,pipeline,scale
2020-07-01,test,-0.2582952513411394,0.19647590526394143,cached_vmd,transformed
2020-07-01,test,-0.2582952513411394,1.638244702358588,no_vmd,transformed
2020-08-01,test,-0.3286852589641558,0.19621670483754744,cached_vmd,transformed
2020-08-01,test,-0.3286852589641558,-0.02925433945013936,no_vmd,transformed
2020-09-01,test,0.0499650244828733,0.10939006227281164,cached_vmd,transformed
2020-09-01,test,0.0499650244828733,-0.0705284035040607,no_vmd,transformed
2020-10-01,test,-0.0299640431482232,-0.04263754636365954,cached_vmd,transformed
2020-10-01,test,-0.0299640431482232,-0.09550892770728997,no_vmd,transformed
2020-11-01,test,-0.099910080927174,0.11406637888254606,cached_vmd,transformed
2020-11-01,test,-0.099910080927174,-0.03833132093748119,no_vmd,transformed
2020-12-01,test,0.1100110011001094,0.1791137690972415,cached_vmd,transformed
2020-12-01,test,0.1100110011001094,-0.10947685003794722,no_vmd,transformed
2021-01-01,test,1.4591245252848228,-0.09160174115847575,cached_vmd,transformed
2021-01-01,test,1.4591245252848228,-0.28040450048983256,no_vmd,transformed
2021-02-01,test,1.4591245252848228,-0.3035824922915842,cached_vmd,transformed
2021-02-01,test,1.4591245252848228,-0.6291019176524646,no_vmd,transformed
2021-03-01,test,-1.7631993695823405,-0.08673437443686399,cached_vmd,transformed
2021-03-01,test,-1.7631993695823405,-0.32559280340881613,no_vmd,transformed
2021-04-01,test,0.230622681239336,-0.27309123880084823,cached_vmd,transformed
2021-04-01,test,0.230622681239336,-0.3411622338730774,no_vmd,transformed
2021-05-01,test,0.200080032012808,0.20026205498231803,cached_vmd,transformed
2021-05-01,test,0.200080032012808,-0.17688895268740504,no_vmd,transformed
2021-06-01,test,0.0299520766773174,0.21786543093359484,cached_vmd,transformed
2021-06-01,test,0.0299520766773174,-0.2719273932078867,no_vmd,transformed
2021-07-01,test,0.42918454935623,-0.05137146538529847,cached_vmd,transformed
2021-07-01,test,0.42918454935623,-0.2804034864658328,no_vmd,transformed
2021-08-01,test,-0.3677201351620001,-0.22833793251574436,cached_vmd,transformed
2021-08-01,test,-0.3677201351620001,-0.21679095355591685,no_vmd,transformed
2021-09-01,test,-0.8678304239401542,-0.33796609875674605,cached_vmd,transformed
2021-09-01,test,-0.8678304239401542,-0.2289478326989767,no_vmd,transformed
2021-10-01,test,0.4226202455222396,-0.28230094537436734,cached_vmd,transformed
2021-10-01,test,0.4226202455222396,-0.2971571264903595,no_vmd,transformed
2021-11-01,test,0.5210420841683326,-0.19406917322546488,cached_vmd,transformed
2021-11-01,test,0.5210420841683326,-0.25246364526577947,no_vmd,transformed
2021-12-01,test,-0.4984051036682616,-0.13870836776983658,cached_vmd,transformed
2021-12-01,test,-0.4984051036682616,-0.16693953552723365,no_vmd,transformed
2022-01-01,test,0.8084639185547483,0.032615310690382114,cached_vmd,transformed
2022-01-01,test,0.8084639185547483,-0.473668959634303,no_vmd,transformed
2022-02-01,test,0.8084639185547483,0.04140292882923218,cached_vmd,transformed
